codigo,familia,tablas_cuerpo,campos_datos,items_chequeo,items_con_valor,tablas_matriz,equipo_prueba,nota_condicional,db_version,db_items,db_checkbox,db_otros,atencion,matriz_cabeceras,ejemplos_valor,tablas_sin_clasificar,otras_cabeceras
I43B,C+V,1,0,9,1,0,sí,,1,14,14,,en la base es solo casillas; 1 ítems con valor,,9.0 Record relevant data on the instrument nameplate Registrar datos relev,0,
I45C,C,1,0,9,0,0,,,1,9,9,,,,,0,
L01A,C,1,0,18,0,0,,,1,18,18,,,,,0,
L02A,C,1,0,16,0,0,,,1,16,16,,,,,0,
L03A,C,1,0,13,0,0,,,1,13,13,,,,,0,
L04A,C,1,0,20,0,0,,,1,20,20,,,,,0,
L04B,C,1,0,8,0,0,,,1,8,8,,,,,0,
L05A,DM,3,2,5,0,1,,,1,27,27,,en la base es solo casillas; 1 matriz; 2 campos de datos,Equipment Equipo | CO2 | Chemical Químico | Water Agua | AFFF | Dry Powder Trolley Mounted Polvo Seco cargado en un carrito | 1. Location correct Ubicación corr,,0,
L05C,C+V,1,0,9,1,0,,,1,9,9,,en la base es solo casillas; 1 ítems con valor,, Conduct tests for the Safety Shower & Eyebath systems  to confirm the ,0,
L06A,C,1,0,16,0,0,,,1,16,16,,,,,0,
L07A,C,1,0,10,0,0,,,1,10,10,,,,,0,
L08A,C,1,0,15,0,0,,,1,15,15,,,,,0,
L08B,C,1,0,9,0,0,,,1,9,9,,,,,0,
L08C,C,1,0,9,0,0,,,1,9,9,,,,,0,
L10B,C+V,1,0,8,1,0,,,1,8,8,,en la base es solo casillas; 1 ítems con valor,,7.0 Record any additional checks that may have been performed as requested,0,
M01A,C,1,0,8,0,0,,,1,8,8,,,,,0,
M01C,C+V,1,0,14,3,0,,sí,1,14,14,,en la base es solo casillas; 3 ítems con valor,,8.0 Prepare commissioning log in accordance with procedures. Preparar el r || 9.0 If item is rotating equipment unit: Si el ítem es una unidad de equipo || 11.0 Carry out and record any additional checks that may have been performe,0,
M02A,C+V,2,0,10,1,0,,,1,11,11,,en la base es solo casillas; 1 ítems con valor,,9.0 Check the freestanding alignments and record readings at Fig 1 below R,0,
M03A,C+V,1,0,12,1,0,,,1,12,12,,en la base es solo casillas; 1 ítems con valor,,5.0 Record mesh size of the Filter and confirm that the correct element is,0,
M03B,C+V,1,0,14,2,0,,,1,14,14,,en la base es solo casillas; 2 ítems con valor,,8.0 Inspect and record the following: Inspeccionar y registrar lo siguient || 11.0 Record any additional checks that may have been performed as requested,0,
M04A,C+V,1,0,9,1,0,,,1,9,9,,en la base es solo casillas; 1 ítems con valor,,4.0 Check bellows are within max/min expansion parameters and record :- Re,0,
M05A,C+V,1,0,7,1,0,,,1,7,7,,en la base es solo casillas; 1 ítems con valor,,7.0 Record if all gags have been removed (check with commissioning for tim,0,
M06A,C,1,0,16,0,0,,,1,16,16,,,,,0,
M06B,M,1,0,0,0,1,,,1,27,27,,en la base es solo casillas; 1 matriz; sin lista de chequeo reconocible,Note: This “Certificate of Vessel or Tank Inspection Closure” must be completed each time the above referenced Vessel or Tank Manway(s) or Manhole(s) are opened,,0,
M07A,C,1,0,20,0,0,,,1,20,20,,,,,0,
M07B,C+V,1,0,27,2,0,,,1,27,27,,en la base es solo casillas; 2 ítems con valor,,4.0 If there is not a signed A check sheet for the boxed-up of this vessel || 6.0 Record any additional checks that may have been performed. Registrar c,0,
M08A,C,1,0,16,0,0,,,1,16,16,,,,,0,
M09A,C,1,0,12,0,0,,,1,12,12,,,,,0,
M09B,C+V,1,0,11,1,0,,sí,1,11,11,,en la base es solo casillas; 1 ítems con valor,,3.0 Coordinate activities with Instrument & Electrical groups to verify th,0,
M09B-1,C+V,1,0,6,1,0,,sí,1,6,6,,en la base es solo casillas; 1 ítems con valor,,"2.0 After solo Run test Motor, Verify motor –pump coupling Alignment (Re- ",0,
M09B-2,C,1,0,21,0,0,,sí,1,21,21,,,,,0,
M09C,DM,4,11,24,4,1,,sí,1,147,147,,en la base es solo casillas; 1 matriz; 11 campos de datos; 4 ítems con valor,VIBRATION DATA DATOS DE VIBRACION | Start Time | 0 Mins | 15 Mins | 30 Mins | 45 Mins | 1 Hour | 1½ Hour,"5.0 Inspections during the pump start up. (Record in the Annex 1). Revisio || 5.1 Record static suction pressure (equipment out of service, suction valv || 5.2 During startup record discharge pressure with discharge valve closed (",0,
M10A,C+V,1,0,12,1,0,,,1,12,12,,en la base es solo casillas; 1 ítems con valor,,5.0 Ensure that the commissioning suction strainer has been correctly fitt,0,
M10B,C+V,1,0,23,2,0,,sí,1,23,23,,en la base es solo casillas; 2 ítems con valor,,12.0 Ensure that suction and discharge Pulsation Dampers are pre-charged to || 16.0 Record any additional checks that may have been performed as requested,0,
M10C,M,2,0,10,3,1,,,1,54,54,,en la base es solo casillas; 1 matriz; 3 ítems con valor,VIBRATION DATA | Start Time | 0 Mins | 15 Mins | 30 Mins | 45 Mins | 1 Hour | 1½ Hour,1.0 Coordinate activities with Instrument & Electrical groups to verify th || 4.0 Ensure that suction and discharge Pulsation Dampers have the required  || 6.0 Start the pump performance test and record vibration parameters. Inici,0,
M11A,C,1,0,6,0,0,,,1,6,6,,,,,0,
M11C,C+V,1,0,20,2,0,,sí,1,20,20,,en la base es solo casillas; 2 ítems con valor,,5.0 Coordinate activities with Instrument & Electrical groups to verify th || 15.0 Record any additional checks that may have been performed as requested,0,
M12A,C+V,2,0,12,4,0,,,1,18,18,,en la base es solo casillas; 4 ítems con valor,,"1.0 Check the manufacturer's tolerances for the coupling alignment and rec || 7.0 Check and record below the free length of the coupling spacer, and dis || 8.0 Record on Fig 1 below the distance between the coupling hub faces afte",0,
M12B,C+V,2,0,8,7,0,,,1,8,8,,en la base es solo casillas; 7 ítems con valor,,"1.0 Record the Alignment figures below in relevant sheet box. Registrar lo || 2.0 Following consultation with VENDOR on the as-found readings, if necess ||  Remove coupling spacer, to carry out the required readings as detailed",0,
M12C,C+V,2,0,8,7,0,,,1,8,8,,en la base es solo casillas; 7 ítems con valor,,"1.0 Record the Alignment figures below in relevant sheet box. || 2.0 Following consultation with Supplier on the as-found readings, if nece || 3.0 Remove coupling spacer, to carry out the required readings.  Note: Cou",0,
M13A,C,1,0,18,0,0,,,1,18,18,,,,,0,
M13B,C+V,1,0,10,1,0,,,,,,,1 ítems con valor; sin plantilla activa en la base,,6.0 Record any additional comments obtained on Pre-Commissioning activitie,0,
M13C,C+V,1,0,45,8,0,,,1,45,45,,en la base es solo casillas; 8 ítems con valor,,6.0 For Lubricating Oil System: || 6.1c Check cleanliness of sump and is filled with correct lube oil.  Record || 7.0 For Cooling System:,0,
M14A,C,1,0,12,0,0,,,1,12,12,,,,,0,
M14B,C+V,1,0,15,2,0,,,1,15,15,,en la base es solo casillas; 2 ítems con valor,,4.0 Remove any access plates / inspection hatch cover(s) and inspect and r || 9.0 Confirm the following: Confirmar lo siguiente:,0,
M15A,C,1,0,14,0,0,,,1,14,14,,,,,0,
M16A,C,1,0,12,0,0,,,1,12,12,,,,,0,
M17A,C,1,0,11,0,0,,,1,11,11,,,,,0,
M17C,C,1,0,8,0,0,,,1,8,8,,,,,0,
M18A,C+V,1,0,24,2,0,,,1,24,24,,en la base es solo casillas; 2 ítems con valor,,10.0 Axial float of Turbine verified and recorded Verificar y registrar el  || 11.0 Soft feet of Turbine verified and recorded Verificar y registrar el pa,0,
M18C,C,1,0,21,0,0,,,1,21,21,,,,,0,
M19A,C,1,0,5,0,0,,,1,5,5,,,,,0,
M20A,C,1,0,20,0,0,,,1,20,20,,,,,0,
M21A,C,1,0,14,0,0,,,1,14,14,,,,,0,
M21B,C,1,0,14,0,0,,,1,14,14,,,,,0,
M22A,C,1,0,14,0,0,,,1,15,15,,,,,0,
M22B,C+V,1,0,14,1,0,,,1,14,14,,en la base es solo casillas; 1 ítems con valor,,6.0 Carry out an unloaded test of the trolley hoist and check for the foll,0,
M22C,C+V,1,0,16,1,0,,,1,16,16,,en la base es solo casillas; 1 ítems con valor,,6.0 Carry out an unloaded test of the trolley hoist and check for the foll,0,
M23A,C,1,0,12,0,0,,,1,12,12,,,,,0,
M23B,C+V,1,0,25,1,0,,sí,1,25,25,,en la base es solo casillas; 1 ítems con valor,,8.0 Remove any access plate / inspection hatch covers and inspect and reco,0,
M23C,DM,4,10,16,2,1,,,1,130,130,,en la base es solo casillas; 1 matriz; 10 campos de datos; 2 ítems con valor,VIBRATION DATA DATOS DE VIBRACION | Start Time | 0 Mins | 15 Mins | 30 Mins | 45 Mins | 1 Hour | 1½ Hour,4.0 Inspections during the blower start up. (Record in the Annex 1). Revis || 4.1 Record discharge pressure during operation.  Registrar presión de desc,0,
M24A,C+V,1,0,9,2,0,,,1,9,9,,en la base es solo casillas; 2 ítems con valor,,"3.0 Check and record that the correct nozzle type is fitted.:- Type ______ || 5.0 Check that the gearbox lubricant level is correct, and the Pelton driv",0,
M25A,C,1,0,28,0,0,,,1,28,28,,,,,0,
M26A,C,1,0,13,0,0,,,1,13,13,,,,,0,
M26C,C,1,0,15,0,0,,sí,1,15,15,,,,,0,
M27A,C,1,0,14,0,0,,,1,14,14,,,,,0,
M27C,C+V,1,0,12,1,0,,,1,12,12,,en la base es solo casillas; 1 ítems con valor,,6.0 Remove any access plates / inspection hatch cover(s) and inspect and r,0,
M28A,C,1,0,12,0,0,,,1,12,12,,,,,0,
M29A,C,1,0,6,0,0,,,1,6,6,,,,,0,
M30A,C,1,0,15,0,0,,,1,15,15,,,,,0,
M31A,C,1,0,21,0,0,,sí,1,21,21,,,,,0,
M32A,C,1,0,13,0,0,,,1,13,13,,,,,0,
M33A,C+V,1,0,7,3,0,,,1,7,7,,en la base es solo casillas; 3 ítems con valor,,3.0 Record actual Belt Deflection…………….....mm Registro actual de la desvia || 4.0 Record actual  Angular Miss-alignment………………mm Registrar el desalineami || 7.0 Record any Punch list raised Registrar cualquier lista de verificación,0,
M34A,C+V,1,0,20,1,0,,,1,20,20,,en la base es solo casillas; 1 ítems con valor,,13.0 Confirm Grease nipples installed & lubrication. Record type in remarks,0,
M35A,C+V,1,0,19,1,0,sí,,1,20,20,,en la base es solo casillas; 1 ítems con valor,,"6.0 Confirm torque / tension of slew ring bolts, include certificate in MC",0,
M36A,C,1,0,14,0,0,,,1,14,14,,,,,0,
M36C,C+V,1,0,17,1,0,,,1,17,17,,en la base es solo casillas; 1 ítems con valor,,9.0 Verify the following:,0,
M37A,C+V,1,0,21,4,0,,,1,22,22,,en la base es solo casillas; 4 ítems con valor,,13.0 Confirm all material certificates are recorded. Confirmar que todos lo || 14.0 Confirm NDE completed and reports recorded. Confirmar que NDE está com || 16.0 Max. deflection mid span (mm) against Allowable Max. defección en la p,0,
M38A,C+V,1,0,16,1,0,,,1,16,16,,en la base es solo casillas; 1 ítems con valor,,16.0 Confirm lubrication schedule relevant to package complies to project s,0,
M39A,C+V,1,0,19,1,0,,,1,30,30,,en la base es solo casillas; 1 ítems con valor,,2.0 Check that all new boiler tubing has been satisfactorily pressure test,0,
M40A,C,1,0,14,0,0,,,1,14,14,,,,,0,
M41A,C,1,0,35,0,0,,,1,35,35,,,,,0,
M41B,C,1,0,59,0,0,,,1,59,59,,,,,0,
M42A,C+V,3,0,17,5,0,,sí,1,21,21,,en la base es solo casillas; 5 ítems con valor,,"5.0 Before and during (1/4, 1/2, & 3/4) filling the tank with water, check || 6.0 With the manhole and/or other roof fittings open, slowly fill the tank || 8.0 After the tank is full, retighten the anchor bolts if it is anchored a",0,
M42B,C,1,0,25,0,0,,sí,1,27,27,,,,,0,
M43A,C+V,1,0,15,3,0,,,1,15,15,,en la base es solo casillas; 3 ítems con valor,,"07 If gearbox fitted, check preservation oil removed and filled with corr || 08 If pulleys fitted -check correctly aligned. Record belt tension Si las || 11 Check all bearings lubricated in accordance with vendor recommendation",0,
M43C,C+V,1,0,21,8,0,,,1,21,21,,en la base es solo casillas; 8 ítems con valor,,4.0 Test and record Motor Insulation Resistance. Medir y registrar resiste || 6.0 Check motor bearings grease lubrication. Change or regrease if needed  || 7.0 Check adaptor C-Face motor-gearbox bearings grease lubrication. Change,0,
M44A,C+V,1,0,16,2,0,,,1,16,16,,en la base es solo casillas; 2 ítems con valor,,"06 All trays level to within tolerance, i.e. Max 0.3% of dia or 6mm which || 07 All trays underflow downcomer clearances correct to drawing. Tolerance",0,
M44B,C+V,1,0,36,2,0,,sí,1,36,36,,en la base es solo casillas; 2 ítems con valor,,7.0 Coordinate activities with Instrument & Electrical groups to verify th || 7.1 Perform instrument continuity checks and calibrate instruments and con,0,
M49B,C+V,1,0,13,1,0,,,1,13,13,,en la base es solo casillas; 1 ítems con valor,,10.0 Record any additional checks that may have been performed as requested,0,
M50B,C+V,1,0,41,4,0,,,1,41,41,,en la base es solo casillas; 4 ítems con valor,,7.0 Coordinate activities with Instrument & Electrical groups to verify th || 7.1 Perform instrument continuity checks and calibrate instruments and con || 7.6 Confirm Air instrument rack has been verified. Tubing rack-compressor ,0,
M50C,C,1,0,16,0,0,,,1,16,16,,,,,0,
M51B,C+V,1,0,34,3,0,,sí,1,34,34,,en la base es solo casillas; 3 ítems con valor,,7.0 Coordinate activities with Instrument & Electrical groups to verify th || 7.1 Perform instrument continuity checks and calibrate instruments and con || 21.0 Record any additional checks that may have been performed as requested,0,
M51C,C,1,0,15,0,0,,sí,1,15,15,,,,,0,
M52B,C+V,1,0,29,3,0,,sí,1,29,29,,en la base es solo casillas; 3 ítems con valor,,8.0 Coordinate activities with Instrument & Electrical groups to verify th || 8.1 Perform instrument continuity checks and calibrate instruments and con || 17.4 Record data from vibrations/temperature monitoring system. Registre lo,0,
M52C,C+V,1,0,12,1,0,,,1,12,12,,en la base es solo casillas; 1 ítems con valor,,"5.0 Remove access / cover plate of combustion chamber, inspect and record ",0,
M53B,C,1,0,22,0,0,,sí,1,22,22,,,,,0,
M53C,C+V,1,0,10,7,0,,,1,10,10,,en la base es solo casillas; 7 ítems con valor,,4.0 Record the following for the chemical material loaded: Registre lo sig || 4.1 Name of Product: Nombre del Producto: || 4.2 Product Specification / Identification: Especificación del Producto/ I,0,
M54B,C+V,1,0,36,4,0,,,1,36,36,,en la base es solo casillas; 4 ítems con valor,,6.0 Lubricating Oil System: Sistema de lubricación de aceite: || 7.0 Cooling System: Sistema de enfriamiento: || 8.0 Air Intake System: Sistema de entrada de aire:,0,
M54C,M,2,0,6,4,1,,,1,22,22,,en la base es solo casillas; 1 matriz; 4 ítems con valor,Description/Type: Descripción/Tipo: | Catalyst Catalizador | Absorbents Absorbente | Filter Media Medio filtrante | Desiccants          Desecante | 6.1 | N° Bed,3.0 Vessel Name to load (Tag N°):______________ Nombre del Recipiente a ca || 4.0 Atmosphere Used:           Air            Nitrogen              Atmosf || 5.0 Load Type:                    Dense         Not dense             Tipo,0,
M55B,C+V,1,0,39,2,0,,sí,1,39,39,,en la base es solo casillas; 2 ítems con valor,,7.0 Coordinate activities with Instrument & Electrical groups to verify th || 7.1 Perform instrument continuity checks and calibrate instruments and con,0,
M55C,C,1,0,13,0,0,,sí,1,13,13,,,,,0,
M56B,C,1,0,33,0,0,,,1,33,33,,,,,0,
M57B,C+V,1,0,42,6,0,,sí,1,42,42,,en la base es solo casillas; 6 ítems con valor,,8.0 Coordinate activities with Instrument & Electrical groups to verify th || 8.1 Perform instrument continuity checks and calibrate instruments and con || 8.10 Check 480V Motor Control Center is operable and acceptable. Verificar ,0,
M58B,C+V,1,0,74,3,0,,sí,1,74,74,,en la base es solo casillas; 3 ítems con valor,,5.4 Measurement of clearance of blades tips (Final) verified. Verifique qu || 11.0 Coordinate activities with Instrument & Electrical groups to verify th || 11.2 Perform instrument continuity checks.  Realice chequeos de continuidad,0,
M59B,C+V,1,0,18,1,0,,sí,1,18,18,,en la base es solo casillas; 1 ítems con valor,,4.0 Remove any access plate / inspection hatch covers and inspect and reco,0,
M59C,M,2,0,15,2,1,,,1,59,59,,en la base es solo casillas; 1 matriz; 2 ítems con valor,VIBRATION DATA | Start Time | 0 Mins | 15 Mins | 30 Mins | 45 Mins | 1 Hour | 1½ Hour,"12.0 In conjunction with the electrical personnel, carry out no load run te || 14.0 Records vibration data. Registrar los datos de vibración.",0,
M60B,C+V,1,0,43,2,0,,sí,1,43,43,,en la base es solo casillas; 2 ítems con valor,,6.0 Coordinate activities with Instrument & Electrical groups to verify th || 6.1 Perform instrument continuity checks and calibrate instruments and con,0,
M61B,C+V,1,0,32,2,0,,sí,1,32,32,,en la base es solo casillas; 2 ítems con valor,,6.0 Coordinate activities with Instrument & Electrical groups to verify th || 6.1 Perform instrument continuity checks and calibrate instruments and con,0,
M62B,C,1,0,6,0,0,,,1,6,6,,,,,0,
M64B,C+V,1,0,39,2,0,,sí,1,39,39,,en la base es solo casillas; 2 ítems con valor,,16.0 Verify the installation of air pressure gauge (0-100 psig) between ins || 18.0 Coordinate activities with Instrument & Electrical groups to verify th,0,
M65B,C,1,0,16,0,0,,,1,16,16,,,,,0,
M65C,C,1,0,7,0,0,,,1,7,7,,,,,0,
P01A,M,2,0,0,0,1,,,1,12,12,,en la base es solo casillas; 1 matriz; 1 tabla(s) sin clasificar; sin lista de chequeo reconocible,Isometric Number Numero Isométrico | Iso Rev. | Line Number Numero de Línea | P&ID | Remarks Observaciones,,1,System / Sub-System Description: Descripción Sistema / Sub-Sistema:
P02A,C,1,0,15,0,0,,,1,15,15,,,,,0,
P03A,C+V,2,0,15,11,0,,,1,25,25,,en la base es solo casillas; 11 ítems con valor,,1.0 Gauge 1 Calibration Check – Tag/Serial No: Escala 1 Chequeo de Calibra || 1.2 Dead Weight Tester Serial No.: No. Serie probador de peso muerto: || 1.3 Test Cert. No.: Certificado de prueba No.:,0,
P04A,C+V,1,0,11,2,0,,,1,15,15,,en la base es solo casillas; 2 ítems con valor,,2.0 Check all NDE and PWHT has been met and recorded. Comprobar que todas  || 3.0 TEST RESULTS and READINGS RESULTADOS DEL TEST y LECTURAS,0,
P05A,C+V,1,0,20,1,0,,,1,20,20,,en la base es solo casillas; 1 ítems con valor,,1.0 For ISLT and Visual Test Packs with no P04A Check all NDE and PWHT has,0,
P06A,C+V,1,0,5,1,0,,,1,5,5,,en la base es solo casillas; 1 ítems con valor,,1.0 Verify the following Pipe Marking details for all lines shown on the P,0,
P06A(1),C+V,1,0,5,1,0,,,1,5,5,,en la base es solo casillas; 1 ítems con valor,,1.0 Verify the following Pipe Marking details for all lines shown on the P,0,
P07A,D,2,12,8,2,0,,,1,21,21,,en la base es solo casillas; 12 campos de datos; 2 ítems con valor,,5.0 Initial Torque (30%) Reading as required by Spec. Torque inicial (30%) || 6.0 Final Torque (100%) Reading as required by Spec. Torque final (100%) d,0,
P08A,C+V,2,0,53,3,0,sí,,1,55,55,,en la base es solo casillas; 3 ítems con valor,, BEFORE WELDING ANTES DE LA SOLDADURA Each of the following considerati ||  BEFORE CUTTING ANTES DEL CORTE Each of the following considerations sh ||  BEFORE REMOVING THE HOT TAPPING MACHINE ANTES DE RETIRAR LA MAQUINA DE,0,
P10A,C+V,1,0,14,1,0,,,1,14,14,,en la base es solo casillas; 1 ítems con valor,,2 Check all NDE and Stress relieving has been met and recorded including,0,
P11A,C,1,0,14,0,0,,,1,14,14,,,,,0,
P11B,C+V,1,0,20,3,0,,,1,23,23,,en la base es solo casillas; 3 ítems con valor,,6.0 System/subsystem circulated for ______hrs and/or until the degreasing  || 9.0 System / subsystem circulated for ______hrs and/or until required iron || 12.0 Nitrogen has been introduced into the system/subsystem piping and equi,0,
P13B,C+V,2,0,3,2,0,,,1,5,5,,en la base es solo casillas; 2 ítems con valor,,1.0 Select Cleaning Medium used: Seleccionar el medio de limpieza utilizad || 2.0 Select Inspection Method(s) used: Seleccionar método(s) de Inspección ,0,
P14B,C,2,0,26,0,0,,,1,27,27,,,,,0,
P15B,C+V,1,0,20,3,0,,,1,22,22,,en la base es solo casillas; 3 ítems con valor,,"3.0 Relief valve available.    (If no, indicate why) Valve number set at:  || 14.0 Work Permit No.:_________________ Permiso de trabajo No.: || 1.0 Test pressure achieved:                             Psig  Presión de p",0,
P15C,C+V,2,0,10,7,0,,,1,13,13,,en la base es solo casillas; 7 ítems con valor; 1 tabla(s) sin clasificar,,4.0 Test medium recommended: Medio de prueba recomendado: Air: ____ Aire:  || 5.0 Design Pressure for the System to be tested:              Psi(g) Presi || 6.0 Approved Leak Test Pressure for the System:             Psi(g) Presión,1,Reference P&ID Numbers:
P16B,M,2,0,13,3,1,,,1,22,22,,en la base es solo casillas; 1 matriz; 3 ítems con valor,ISO# | Joint Tag | Size (inch) | Rating (lbs) | Bolt diam (inch) | # Bolts | Torque Value (lb-ft) | Date,1.0 Record Joint Identification Number. Registro de número de identificaci || 9.0 Bolt tension setting 1 ___________ Tensión de pernos 1 || 10.0 Bolt tension setting 2 ___________ Tensión de pernos 2,0,
P17B,M,3,0,6,2,1,,,1,17,17,,en la base es solo casillas; 1 matriz; 2 ítems con valor; 1 tabla(s) sin clasificar,7.0 | Tag Numbers for Equipment included in the Purging Operation: Números de Tags de los equipos incluidos en la operación de purga:,2.0 Purge Medium recommended: Medio de Purga recomendado: || 6.0 I.D. Numbers for Lines included in the Purging Operation: Números de i,1,Reference P&ID Numbers: Números P&ID de Referencia:
P18B,C,1,0,6,0,0,,,1,6,6,,,,,0,
P19B,C+V,1,0,6,2,0,,,1,8,8,,en la base es solo casillas; 2 ítems con valor,,2.0 Verify that the steam conditions apply as agreed upon and approved in  || 4.0 Verify that was selected the appropriate Inspection Method according t,0,
P21C,C+V,3,0,24,2,0,,,1,31,31,,en la base es solo casillas; 2 ítems con valor; 2 tabla(s) sin clasificar,,1.2 Variable springs (Quantity): Resortes Variables (Cantidad): || 1.3 Constant springs (Quantity): Resortes Constantes (Cantidad):,2,Reference P&ID Numbers: || I.D. Numbers for Lines and installed Spring Supports tags and manufacturers: Código y Número de líneas e identificación 
Q01A,C,1,0,44,0,0,,,1,44,44,,,,,0,
Q02A,C+V,1,0,20,4,0,,,1,20,20,,en la base es solo casillas; 4 ítems con valor,,"2.0 INSULATION PROTECTION / WEATHER PROOFING: PROTECCION DE AISLAMIENTO /  || 2.1 Overlap, longitudinal min 50mm Superposición, longitudinal min 50mm || 2.2 Overlap, circumferential min 75mm Superposición, circunferencial min 7",0,
Q03A,C,1,0,35,0,0,,,1,35,35,,,,,0,
Q04A,D,2,2,28,4,0,,,1,37,37,,en la base es solo casillas; 2 campos de datos; 4 ítems con valor,,"1.8 Longitude & end joints in multi layer offset by at least 75mm Longitud || 3.1 Overlap, longitudinal min 50mm Superposición, longitudinal min 50mm || 3.2 Overlap, circumferential min 75mm Superposición, circunferencial min 7",0,
Q05A,C,1,0,12,0,0,,,1,12,12,,,,,0,
Q06A,C,1,0,10,0,0,,,1,10,10,,,,,0,
Q07A,C+V,1,0,9,1,0,,,1,9,9,,en la base es solo casillas; 1 ítems con valor,,1.3 Tonnage used: Tonelaje usado:,0,
T01A,C,1,0,10,0,0,,sí,1,11,11,,,,,0,
T01C,M,3,0,4,0,1,,,1,10,10,,en la base es solo casillas; 1 matriz,*  Equipment Type | Manufacturer | Model No | Vendor Drwg No's,,0,
T02A,D,3,2,8,1,0,sí,,1,18,18,,en la base es solo casillas; 2 campos de datos; 1 ítems con valor,,4.0 Continuity check Revisar la continuidad,0,
T03A,D,3,5,9,1,0,sí,,1,20,20,,en la base es solo casillas; 5 campos de datos; 1 ítems con valor,, Folder / File Name: Carpeta / Nombre de archivo:,0,
T04A,C,1,0,7,0,0,,,1,8,8,,,,,0,
T04B,C+V,1,0,5,2,0,,,1,5,5,,en la base es solo casillas; 2 ítems con valor,,1.0 Verify that device and cables A check sheets and tests are complete. V || 3.0 Measure supply voltage (120Vac) and audio voltage (25Vac). Medir tensi,0,
T04C,M,3,0,4,0,1,,,1,10,10,,en la base es solo casillas; 1 matriz,*  Equipment Type | Manufacturer | Model No | Vendor Drwg No's,,0,
T05A,C,1,0,11,0,0,,,1,12,12,,,,,0,
T05C,M,3,0,4,0,1,,,1,10,10,,en la base es solo casillas; 1 matriz,*  Equipment Type | Manufacturer | Model No | Vendor Drwg No's,,0,
T06A,C,1,0,13,0,0,,,1,14,14,,,,,0,
T06B,C+V,1,0,7,1,0,,sí,1,7,7,,en la base es solo casillas; 1 ítems con valor,,1.0 Verify that device and cables A check sheets and tests are complete. V,0,
T06C,M,3,0,4,0,1,,,1,13,13,,en la base es solo casillas; 1 matriz,*  Equipment Type | Manufacturer | Model No | Vendor Drwg No's | Low Power Loudspeaker,,0,
T07A,D,3,4,8,1,0,sí,,1,20,20,,en la base es solo casillas; 4 campos de datos; 1 ítems con valor,,5.0 Continuity Check Revisar la continuidad,0,
T08A,D,3,4,17,2,0,sí,,1,29,29,,en la base es solo casillas; 4 campos de datos; 2 ítems con valor,,"5.0 Continuity Check. (Test each conductor, inc shield) Revisión de contin || 7.0 Insulation Resistance (500 Volt Megger Min. 100MΩ)  La resistencia del",0,
T09A,C+V,1,0,20,2,0,,,1,20,20,,en la base es solo casillas; 2 ítems con valor,,18.0 Check record earth bar resistance to telecom / clean earth. Verificar  || 19.0 Check record earth bar resistance to general earth. Verificar el regis,0,
T09C,C+V,1,0,26,2,0,,,1,26,26,,en la base es solo casillas; 2 ítems con valor,,4.0 Measure supply voltage (120Vac). Medir tensión de alimentación (120Vac || 13.1 Measure internal supply voltage (120Vac). Medición de tensión de alime,0,
T10A,C,1,0,19,0,0,,,1,19,19,,,,,0,
T10C,C,1,0,7,0,0,,,1,7,7,,,,,0,
T11A,C,1,0,19,0,0,,,1,19,19,,,,,0,
T11B,C+V,1,0,16,1,0,,sí,1,16,16,,en la base es solo casillas; 1 ítems con valor,,4.0 Measure supply voltage (120Vac). Medir tensión de alimentación (120Vac,0,
T12A,C,1,0,15,0,0,,,1,15,15,,,,,0,
T12B,C+V,1,0,8,2,0,,,1,8,8,,en la base es solo casillas; 2 ítems con valor,,1.0 Verify that device and cables A check sheets and tests are complete. V || 3.0 Measure device voltaje. Medir tensión de dispositivo.,0,
T13C,C,1,0,3,0,0,,,1,3,3,,,,,0,
T14C,C,1,0,4,0,0,,,1,4,4,,,,,0,
X01A,C,2,0,0,0,0,,,1,2,2,,2 tabla(s) sin clasificar; sin lista de chequeo reconocible,,,2,List of boundary drawings reflecting the scope of the tag: Lista de los planos de los limites que refleja el alcance de  || The painting/coating scope of work a
X02A,C,1,0,12,0,0,,,1,13,13,,,,,0,
